checkpoint_id,cmni,total_mns,total_neurons,activation,batch_size,dropout,epochs,num_layers,num_neurons,learning_rate
checkpoint-20241010-010246-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch01-valLoss0.0942,0.005263015880551174,0.1999946034609446,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-010408-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch02-valLoss0.0734,0.004136624861611668,0.15719174474124337,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-010530-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch03-valLoss0.0676,0.0063692765655446295,0.24203250949069594,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-010652-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch04-valLoss0.0640,0.007347805003614209,0.27921659013733996,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-010813-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch05-valLoss0.0614,0.008132069756193733,0.30901865073536183,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-010935-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch06-valLoss0.0596,0.008140527369720419,0.30934004004937593,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011100-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch07-valLoss0.0582,0.008223555875133891,0.3124951232550879,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011221-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch08-valLoss0.0571,0.008013563829178255,0.3045154255087737,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011345-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch09-valLoss0.0563,0.008060034178361488,0.3062812987777365,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011508-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch10-valLoss0.0556,0.00785573312054641,0.2985178585807636,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011630-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch11-valLoss0.0548,0.007692513430941847,0.2923155103757902,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-011751-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch12-valLoss0.0541,0.007607573392960986,0.28908778893251746,38,relu,25,0.12,500,2,17,4e-06-e
